,id,scaled_mfcc,scaled_rp,scaled_bh,bpm,scaled_rh,scaled_levenshtein,key,scale,scaled_corr,scaled_skl,scaled_js,aggregated
43,music/Metal/OmniumGatherum-NewWorldShadowsmp3,0.2467531490409187,0.31427995559793875,0.832787977520256, 122.389251709,0.29707744013899867,0.264568268821778, C#, minor,0.9376067506674177,0.4135330658438622,0.06208247757739897,0.4210861356510711
44,music/WorldMusic/TheHU-WolfTotemmp3,0.3395658286539683,0.39271887324505067,0.8789242479715147, 86.0263519287,0.3927621623441933,0.18077413866439812, D#, major,0.9555464794629375,0.11338433761672935,0.12035942425822259,0.4217544365271268
45,music/Pop/FoolsGarden-LemonTreemp3,0.20645304967248634,0.4348972356257351,0.944232712636393, 143.298110962,0.5238386012111171,0.1331348362398979, G#, major,0.9491684612724204,0.07963455464813118,0.11778120031095453,0.42364258145214195
46,music/Metal/Gojira-Globalwarmingmp3,0.2164229877892451,0.34981055891395446,0.7741704855429167, 94.3844528198,0.3420373419237056,0.27988090174393876, C#, minor,0.8201630729317396,0.5056029364680856,0.10431711398717029,0.42405067491259457
47,music/Klassik/Liszt-Totentanzmp3,0.2919143253084527,0.3682975750337678,0.5763421101257389, 164.038589478,0.3757273461029147,0.7333049766056997, D, minor,0.6802108756085596,0.1919068276181566,0.1762983803975435,0.42425030210010417
48,music/Metal/SystemOfADown-Toxicitymp3,0.4702012001293633,0.3869102804233839,0.6807844544330278, 115.074310303,0.4766730531644124,0.1484474691620587, C, minor,0.943529836674953,0.21678327821754095,0.09595910737719154,0.42741108494774144
49,music/Metal/Uada-BlackAutumnWhiteSpringmp3,0.608037884005369,0.27308132556397535,0.5633961168670905, 102.767547607,0.23057509672471366,0.3466609953211399, D, minor,0.8804254416051785,0.3741879566408623,0.15062918887451412,0.4283742507003554
50,music/Electronic/MartinGarrix-Animals(OriginalMix)mp3,0.2965218702714115,0.4197617845206473,0.8693518678935399, 128.125137329,0.4332608011138764,0.23266695023394302, F, minor,0.8756733356485787,0.22914521804864277,0.1335202359666009,0.436237757962155
51,music/Reggae/DamianMarley-Confrontationmp3,0.3478142128696363,0.4604045427129178,0.7729393337104269, 111.168869019,0.4896875338988482,0.22203317737133135, A, minor,0.9538360584824418,0.16170781466830064,0.1169056220103507,0.4406660369655317
52,music/Metal/DarkTranquillity-PunishMyHeavenmp3,0.6147462753594775,0.30084887731373544,0.7199714286759392, 133.242721558,0.29138355874628696,0.21480221182475542, C#, minor,0.9108420137969402,0.37447026690833624,0.10052907330160285,0.4409492132408842
53,music/Pop/CamilaCabello-Havanamp3,0.21257159805552903,0.6331714476846853,0.7416177869350261, 104.904518127,0.6764082483589272,0.11909825606125053, G, minor,0.9063043968215183,0.12476367609850539,0.13457192308654742,0.4435634166377486
54,music/Rock/RiseAgainst-PrayeroftheRefugeemp3,0.5929015079536638,0.3503829997412888,0.5674698250305682, 97.9537963867,0.3459232071495668,0.1310080816673756, D#, minor,0.9839040371420638,0.3902182564488545,0.18982557347377269,0.44395418607589426
55,music/WorldMusic/AndreyVinogradov-MedievalTunemp3,0.5744182422344324,0.3635687160253537,0.6304473369732508, 111.668838501,0.28043536557526666,0.1207996597192684, G, minor,0.8869356834138534,0.47494346634032675,0.25630000818285237,0.4484810598080756
56,music/Rock/RedHotChiliPeppers-Snow(HeyOh)mp3,0.5021368402179067,0.44139500424166034,0.6690798661395337, 106.173690796,0.5483180506914939,0.18417694598043385, B, major,0.9326925648520352,0.20324282208138267,0.13766972780546205,0.45233897775123855
57,music/Rock/Wallows-Scrawny[Explicit]mp3,0.387891294621537,0.5079314911692242,0.8557263967620939, 137.751556396,0.5009142892791726,0.10761378136962994, A, major,0.9452877388638388,0.2125832792744255,0.10933101094915858,0.45340991028613503
58,music/WorldMusic/TheHU-YuveYuveYump3,0.48518381484292916,0.4014952886735636,0.8975467080072975, 132.009902954,0.4020521344305529,0.21267545725223308, D#, minor,0.9358250807437771,0.17608002051015106,0.13147682295952742,0.45529191592750395
59,music/Electronic/Fytch-InTheseShadows(featCarmenForbes)mp3,0.2290773481866518,0.38754206407163294,0.9587580208594165, 140.014526367,0.4606338834380877,0.2807316035729477, A, minor,0.8670168443635651,0.3086589825554355,0.15408534364217266,0.45581301133623875
60,music/Electronic/Kadebostany-EarlyMorningDreams(KledMoneRemix)mp3,0.21576765884286886,0.6434010219092284,0.7124079975321541, 104.842132568,0.6929887521390706,0.27988090174393876, D, minor,0.877692011398847,0.0977984091557201,0.13149168751235535,0.45642855502927293
61,music/Reggae/DamianMarley-Pimpa'sParadisemp3,0.23376525925441838,0.594432642208431,0.7727506206470602, 94.9815063477,0.6628003680435296,0.15908124202467036, C, major,0.9233015498587682,0.17163660360513927,0.13947535299314684,0.4571554548293954
62,music/Pop/Halsey-HeavenInHidingmp3,0.2828190472360327,0.4951160270834524,0.80580721915866, 117.763298035,0.6367031239161098,0.14249255635899616, C#, minor,0.9626737162818486,0.18581182790196935,0.16352540077558292,0.4593686148390814
63,music/Jazz/RaphaelWressnig-SeptemberNightsmp3,0.41958456287106066,0.564549289747516,0.8089166340506203, 120.094520569,0.5746835370355052,0.1786473840918758, C, major,0.901764547117653,0.13171157093196242,0.1116202758379812,0.46143472521052176
64,music/Pop/DuaLipa-NewLovemp3,0.5159262629258557,0.4668672461847619,0.8506741517860459, 178.20539856,0.5075407721185765,0.23479370480646533, G#, major,0.9295557250627076,0.16123983488179366,0.05372088613858469,0.46503982298809887
65,music/Metal/JudasPriest-Painkillermp3,0.6203232406509052,0.3167370304090946,0.5843239799269156, 102.933151245,0.2876822506833309,0.21692896639727777, A, major,0.91140634796577,0.5751535927596545,0.21003785915282763,0.465324158493222
66,music/Reggae/BobMarley-NoWomanNoCrymp3,0.654452225232879,0.36130452300875104,0.8264469414794416, 155.295715332,0.41273879725994106,0.45214802211824756, C, major,0.8130977016152146,0.10788791598499811,0.1189921925091241,0.4683835399010746
